cmmcc_0,cmmcc_1,cmmcc_2,cmmcc_3,cmmcc_4,cmmcc_5,cmmcc_6,cmmcc_7,cmmcc_8,cmmcc_9,cmmcc_10,cmmcc_11,cmmcc_12,cmmcc_13,cmmcc_14,cmmcc_15,cmmcc_16,cmmcc_17,cmmcc_18,cmmcc_19,cmmcc_20,cmmcc_21,cmmcc_22,cmmcc_23,cmmcc_24,cmmcc_25,cmmcc_26,cmmcc_27,cmmcc_28,cmmcc_29,cmmcc_30,cmmcc_31,cmmcc_32,cmmcc_var_0,cmmcc_var_1,cmmcc_var_2,cmmcc_var_3,cmmcc_var_4,cmmcc_var_5,cmmcc_var_6,cmmcc_var_7,cmmcc_var_8,cmmcc_var_9,cmmcc_var_10,cmmcc_var_11,cmmcc_var_12,cmmcc_var_13,cmmcc_var_14,cmmcc_var_15,cmmcc_var_16,cmmcc_var_17,cmmcc_var_18,cmmcc_var_19,cmmcc_var_20,cmmcc_var_21,cmmcc_var_22,cmmcc_var_23,cmmcc_var_24,cmmcc_var_25,cmmcc_var_26,cmmcc_var_27,cmmcc_var_28,cmmcc_var_29,cmmcc_var_30,cmmcc_var_31,cmmcc_var_32,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta2_0,delta2_1,delta2_2,delta2_3,delta2_4,delta2_5,delta2_6,delta2_7,delta2_8,delta2_9,delta2_10,delta2_11,delta2_12,delta2_13,delta2_14,delta2_15,delta2_16,delta2_17,delta2_18,delta2_19,delta2_20,delta2_21,delta2_22,delta2_23,delta2_24,delta2_25,delta2_26,delta2_27,delta2_28,delta2_29,delta2_30,delta2_31,delta2_32,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,tonnetz_0,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rmse,tempo,label
-0.00290988,-0.069532575,7.233247816,-55.84203355,46.08610092,-105.2126754,60.73475373,-79.51389627,44.12171178,-52.08029228,-2.641014805,3.421069914,-23.65558043,27.98011472,-14.02287837,6.460565625,-4.259290141,-9.089324204,2.63641398,-4.492635556,1.621372845,0.177925223,0.030264427,-0.677732302,0.603420326,-2.635466646,2.400671676,-5.568237906,2.600020236,-6.36301004,-1.153668,-4.091580124,-2.240113158,0.270170372,162.2093851,354.1460758,674.411316,732.8321352,764.8750693,620.0717023,493.211525,710.1296675,393.251829,555.9466421,371.7769918,295.0623936,409.0595469,211.1831652,186.379536,145.0905324,128.8863342,71.321145,49.84624476,20.69928413,6.778232067,0.960517504,0.361166838,4.210789736,11.67165428,18.56419814,22.72650086,27.67952489,36.71421194,37.18847236,25.90040187,34.53058222,-0.070037241,-0.070037241,-0.070037241,-0.070037241,-0.070037241,-2.167878659,-0.107363763,3.008713184,-0.873057041,6.645122731,-0.943361961,5.142838758,-0.268435271,3.04701233,0.014192738,-0.285902138,0.357637619,-1.321445043,0.895377743,0.030582162,0.735731321,0.429252456,0.028949583,-0.116969012,-0.175680328,-0.440637225,-0.345518906,-0.436373242,-0.394098764,-0.394098764,-0.394098764,-0.394098764,-0.394098764,4.222308383,4.222308383,4.222308383,4.222308383,4.222308383,0.585359392,1.249178325,-0.211276246,1.74335583,-2.073118785,3.600636504,-2.734587192,1.88184488,-3.807733713,-0.263033846,-0.317486526,-0.501253343,1.937763026,-0.316137186,0.478523117,-0.327152725,-0.640451729,0.175832834,-0.500233352,0.227868624,-0.223296216,-0.032291076,-0.08452743,0.103762022,0.103762022,0.103762022,0.103762022,0.103762022,0.399599731,0.425335974,0.494067997,0.346377969,0.33180061,0.419411093,0.433974415,0.460348606,0.404628754,0.413392603,0.453367531,0.43756038,0.015073498,0.017296761,-0.004891138,-0.063092543,-0.006080312,-0.015780697,1784.122641,2002.412407,3805.72303,0.083044821,0.13018432,123.046875,blues
-0.740351673,13.20447004,39.00220885,-50.99272881,38.38302819,-85.80315866,49.72193084,-85.06828956,43.86280376,-52.93274383,10.44870563,12.46457394,-33.60604253,21.89506134,-17.87123577,-2.352361644,0.092056491,-9.407180335,4.33852977,-4.299751692,3.196756366,0.039230529,0.328624313,-0.722889474,1.132990137,-2.980427109,2.636441847,-6.281514703,2.970991889,-5.724968637,3.217139533,-3.034959944,-1.72483921,0.764662621,450.9243081,925.8184901,1073.904349,1379.606111,1345.108209,950.7168228,715.5843514,603.8731622,643.891001,679.5992964,553.4529178,510.992188,508.8204836,278.6673149,207.0961824,169.3364095,164.2710041,86.94713222,60.63693398,34.08925151,11.33742165,1.02669912,0.351406924,4.069077951,13.37543985,18.86105339,21.83226472,39.54203708,39.8564434,36.92103625,26.83192045,36.61305323,-2.16294405,-2.16294405,-2.16294405,-2.16294405,-2.16294405,-5.11298816,-1.805660628,3.831799098,-0.659399829,5.70767648,-0.650383142,4.187707588,-1.175853965,2.152220702,-0.78178652,0.035587055,1.766524481,-0.397794228,1.521517421,0.416310674,0.442262975,0.339599773,-0.129000507,-0.247382417,-0.291786603,-0.412391545,-0.051287678,-0.135839445,-0.164616241,-0.164616241,-0.164616241,-0.164616241,-0.164616241,3.36029941,3.36029941,3.36029941,3.36029941,3.36029941,1.676256362,4.13323949,1.046204163,1.315545251,-2.078845378,1.832332359,-4.054442748,2.145297923,-2.847224536,1.577391894,0.591196247,-0.913333578,1.466405549,-0.838632668,-0.10892532,-0.141672475,-0.71231022,0.248375969,-0.524465704,0.315101757,-0.182986844,0.272811036,0.054498291,0.084810053,0.084810053,0.084810053,0.084810053,0.084810053,0.511234105,0.449158967,0.423844993,0.325219601,0.375432789,0.491770059,0.525544286,0.572598875,0.454774916,0.383659393,0.409169883,0.461427987,0.009826961,0.02682093,0.004046188,-0.007179121,-0.00187026,-0.008161159,1530.261767,2038.987608,3550.713616,0.056039809,0.09590782,107.6660156,blues
0.300452646,3.67164483,-7.85694586,-84.95982328,45.81256043,-116.9466911,44.36750475,-120.6622701,33.54381335,-50.53803625,-5.982495861,-5.427049655,-19.71016463,13.36734765,-17.13112457,8.101704668,1.554717238,-1.865916818,6.421269421,0.624651402,1.272406439,1.185997669,0.26287156,-0.62493862,1.397807898,-4.026787764,2.425891824,-3.959275027,0.69254601,-5.610222409,0.665835857,-3.047103204,0.165494159,0.282533241,363.9818825,585.5774099,612.59308,1025.186844,957.0695384,628.7459616,469.7122545,620.6405263,486.1588281,495.0504191,453.9300538,454.530285,395.6106903,231.4503115,230.5521868,138.5148388,78.37672944,67.99158851,55.85983616,22.04077019,9.030162887,1.293482406,0.277959713,3.196854895,11.72393409,19.4436602,29.11735726,26.64906813,26.0517822,28.85108821,33.38684176,30.95302683,-2.792771141,-2.792771141,-2.792771141,-2.792771141,-2.792771141,-2.758106599,1.375168133,4.745659066,0.698204278,8.666121308,1.578289442,7.951903071,0.740999637,4.115611096,1.626043007,1.513673654,1.380656034,-0.060039354,0.845913502,-0.630452403,-0.14433587,-0.453709721,-0.524932688,-0.402764735,-0.280517807,-0.525607431,-0.24478342,-0.279746493,-0.119354343,-0.119354343,-0.119354343,-0.119354343,-0.119354343,5.092597697,5.092597697,5.092597697,5.092597697,5.092597697,2.853676566,2.556627424,0.382270178,3.910605555,-2.546942317,2.103769212,-4.749188917,2.445523216,-2.512440288,0.182093237,-0.469125613,-1.016747041,0.277918521,-1.162852887,0.182308239,-0.096250163,-0.346492573,0.406381841,-0.130926042,0.141166257,-0.140657577,0.114459048,0.03224345,0.256173021,0.256173021,0.256173021,0.256173021,0.256173021,0.382815748,0.280851394,0.354944855,0.464977056,0.555752695,0.409020036,0.387372553,0.355287611,0.392996669,0.456493467,0.426561594,0.601719797,0.05085984,-0.04422488,0.059520639,0.041603197,-0.012945439,-0.002123417,1552.832481,1747.754087,3042.410115,0.076291207,0.17547321,161.4990234,blues
-0.55470477,30.00519291,36.88461818,-69.66514541,52.18613342,-96.83796277,55.76341479,-106.34792,22.31809559,-76.756411,-18.0070245,-24.153252,-28.37063718,-6.614734667,-22.86923619,0.705228238,0.891951288,-0.731511967,7.622121964,1.006821139,1.060612469,2.315325708,0.281882663,-0.896645859,0.480789729,-5.689237443,2.107099983,-6.201460341,-0.265414848,-5.968323574,0.443236421,-4.708236079,-0.502584126,0.520065282,400.4477084,628.6085806,576.806756,1295.626344,577.4284211,684.7938125,463.7953908,446.8280264,538.1436573,503.3294735,412.7855308,314.031232,389.8613027,204.4508648,164.3365401,100.98913,116.001359,63.02019402,50.80522654,22.62325985,7.737000871,1.077714802,0.232766765,2.338827796,6.056484297,10.79966708,15.6207762,21.58949409,20.65015748,26.9483838,21.06008662,21.89102928,-5.116389358,-5.116389358,-5.116389358,-5.116389358,-5.116389358,-9.008904187,-5.168106673,-0.363568596,-3.702038661,3.875916207,-1.068422574,7.04283896,2.574907241,6.933581416,3.977115763,4.069103382,3.335594036,1.9140524,1.658507055,-0.145092273,-0.258533699,-0.764009373,-0.775331345,-0.691731377,-0.533277073,-0.72933014,-0.276237503,-0.304828465,-0.068084695,-0.068084695,-0.068084695,-0.068084695,-0.068084695,2.425588226,2.425588226,2.425588226,2.425588226,2.425588226,1.331399024,2.698007809,-0.431458119,4.727826806,-0.430901943,4.87948812,-2.215149134,3.322514363,-2.377728625,0.676851086,-0.811819089,-1.513747565,-0.902271034,-1.69706759,-0.384320939,-0.246495972,-0.417902457,0.427607948,-0.197656126,0.169469592,0.052828588,0.282522537,0.076866962,0.256275702,0.256275702,0.256275702,0.256275702,0.256275702,0.520803332,0.525594294,0.555797398,0.615079701,0.732781231,0.67870301,0.596251905,0.509427726,0.472249389,0.509545147,0.497586668,0.544007242,0.02108166,-0.008964586,-0.012032391,0.015494178,0.002679042,-0.000785123,1070.153418,1596.422564,2184.879029,0.033308863,0.14104027,172.265625,blues
-0.410268907,-19.01352371,-42.40736094,-116.01781,17.37623508,-125.5018225,74.62009681,-109.746887,45.61552633,-33.28208924,0.534370114,18.05081259,-13.27287006,14.51561292,-26.93469225,0.83318953,-3.887160768,-3.619892485,5.488156729,4.659237212,3.648901324,2.404638214,0.449053331,-0.476406088,1.160040832,-2.090706215,2.197215199,-3.703527663,0.65701476,-0.090887787,3.44845044,-4.109769876,2.121129942,0.580558353,586.5643721,368.0180508,916.5438447,673.0730605,737.4020609,603.7134408,468.5969387,718.5372918,664.0138375,629.6086046,637.0301886,514.6951222,667.9002547,296.8256276,208.4759333,172.973084,153.6136155,104.4471492,79.94788134,25.08597057,9.567144909,1.749504123,0.417327657,5.120338525,6.89151855,17.55783379,23.05683409,30.99883698,38.12364995,45.34873697,53.48206872,44.76709775,2.274566567,2.274566567,2.274566567,2.274566567,2.274566567,4.61300179,8.203460076,10.68639653,3.939247154,8.448418071,-1.664592455,5.107630244,-2.568970608,0.954785435,-0.668466226,-0.175111674,1.641842906,1.005571579,2.293343038,0.299667764,0.288107663,-0.338978953,-0.687872695,-0.768096987,-0.473500338,-0.246254808,0.175587829,-0.086813165,0.06503793,0.06503793,0.06503793,0.06503793,0.06503793,8.365869043,8.365869043,8.365869043,8.365869043,8.365869043,2.836355801,-0.46461256,-2.589823052,0.607540012,-4.466495977,1.424405756,-6.305514358,1.870741737,-1.763161773,1.482016542,2.167814607,0.349442156,0.675341991,-1.827833366,-0.547336607,-0.748041206,-0.572684033,0.331033725,0.10247781,0.239704261,0.196337079,0.314243021,-0.115047818,0.118330934,0.118330934,0.118330934,0.118330934,0.118330934,0.257789016,0.359713376,0.388088822,0.265041023,0.29141897,0.518232524,0.247599646,0.182491794,0.31983906,0.432994038,0.530905843,0.281533033,-0.058849281,0.05761804,-0.156724942,-0.071998827,-0.015812748,-0.032930502,1835.128513,1748.410758,3579.957471,0.101460539,0.09150122,135.9991776,blues
-0.433257353,-9.354870815,-18.37554591,-104.3798416,7.435942349,-133.5341257,67.26081899,-101.4964085,53.30738354,-29.45747487,8.472308827,29.67482376,-14.74463691,14.41332999,-21.64770709,4.066422159,-2.507585875,-3.95305431,6.985902041,2.114873994,1.959483267,3.239294787,0.029603981,-0.129488229,2.007604507,-0.302192231,1.575711422,-4.335777863,-1.865802194,-3.314386387,3.337376255,-3.611330325,4.259796016,0.743765652,1450.421593,873.1974903,2459.527021,835.2642737,1097.546436,907.8282389,607.3405974,763.9396696,1100.260859,663.3356171,1263.2233,589.1512735,928.5326575,455.3695726,229.7928583,204.8587129,253.2972863,102.5388906,49.09573239,31.8737006,10.98886951,2.034983025,0.63846433,5.37639918,12.92180518,18.52891553,27.47946648,30.00908962,39.20435624,33.4257545,42.9427986,36.09920564,1.344273272,1.344273272,1.344273272,1.344273272,1.344273272,3.337168584,7.598985312,12.22546045,5.922774078,9.388014081,-1.414610522,4.365178575,-3.30316187,0.182635413,-1.545034452,-1.044013827,1.319480909,0.528597031,1.653832146,0.003103457,0.279054741,-0.1125008,-0.536075028,-0.534314941,-0.585114149,-0.67909026,-0.13506674,-0.323399251,0.060434548,0.060434548,0.060434548,0.060434548,0.060434548,9.11093721,9.11093721,9.11093721,9.11093721,9.11093721,4.774079559,2.056719135,-1.506885736,-0.81700268,-6.178141994,0.402472951,-6.218475367,1.938212719,-1.803611419,1.88246413,2.34075698,-0.166164436,0.670855561,-1.424785764,-0.207295838,-0.495480214,-0.369428187,0.36194471,-0.201252263,-0.109758349,-0.073823268,0.25187266,0.115263366,0.597741756,0.597741756,0.597741756,0.597741756,0.597741756,0.333764762,0.407782644,0.61767596,0.332728773,0.224620998,0.30881685,0.340153307,0.417591751,0.336715847,0.359796464,0.366318941,0.411926687,0.049193355,0.031669763,0.016025609,-0.104645145,-0.025244123,-0.021446897,1832.011597,1729.580804,3481.467631,0.094041534,0.103452876,112.3471467,blues
-0.414585923,5.160822142,-26.38754761,-117.5056117,43.88679607,-190.1486133,30.17015983,-93.15176397,49.82078181,-60.51216156,13.62554243,24.26742669,9.685563448,12.60889894,-3.510102893,-1.415627674,-6.294909709,-1.922456179,-1.622691221,4.714311294,-2.888799276,3.828171786,-0.270406951,-0.571932406,0.104030575,-2.853594345,2.432399747,-0.749956781,-0.195195688,-4.003839936,2.772368029,-1.089010011,2.189433692,1.224887054,1205.550965,1098.199351,1544.875338,1973.038518,2121.423977,1922.402524,715.116069,903.484082,1581.846685,652.322901,864.5388003,691.925,745.4983726,626.4255887,342.4602604,287.1323067,333.6150316,141.932643,88.28586615,34.29099725,16.42943635,2.08127365,0.60538453,5.421624501,16.32751673,25.86634445,33.4175359,33.75185428,33.19684817,38.30690617,36.93771854,32.79168162,-0.892064568,-0.892064568,-0.892064568,-0.892064568,-0.892064568,0.015401878,7.331625523,12.58719863,8.43322595,15.80365669,3.117834822,5.820900551,-1.55171638,1.833928168,-3.092467602,-2.39974571,-1.17855365,-0.272115022,0.702319508,0.528057287,0.524429358,-0.108308039,-0.081629959,-0.3147095,0.002733002,-0.485501545,0.056342706,0.016810255,0.184356981,0.184356981,0.184356981,0.184356981,0.184356981,11.01636774,11.01636774,11.01636774,11.01636774,11.01636774,6.154671334,4.025069341,0.65020056,3.472647706,-8.678336626,0.108832081,-6.108492308,-0.251736854,-4.841623524,0.747371956,2.115660162,1.158614375,1.216676484,-0.066027073,-0.2910076,-0.569495189,-0.433670996,0.017374625,0.247354019,-0.056162236,0.035389087,0.111182249,0.011806371,0.172508841,0.172508841,0.172508841,0.172508841,0.172508841,0.460210025,0.371215671,0.217801586,0.229592398,0.310477316,0.475366265,0.429304749,0.323677212,0.360757977,0.511243343,0.476244926,0.424407065,-0.006068411,0.010978926,-0.084975351,0.002837975,-0.00031931,0.018203141,1459.469691,1389.068446,2795.910729,0.073052237,0.14175196,123.046875,blues
-0.356950418,6.213850632,-9.325409857,-96.34158752,28.94357589,-175.6246166,25.66622838,-109.6871043,49.35124193,-58.42532587,6.863011645,30.50780643,-7.461243848,24.46498199,0.20126377,0.454964255,-1.055758785,-2.654140511,1.979563169,7.198688275,1.627142012,2.593668581,-0.10430289,-0.358003577,1.31964032,-1.623380604,2.355463789,0.663442926,1.809418416,-4.636700388,3.787951877,-1.750901584,2.850106026,0.670240168,979.6135426,757.3813974,1011.924092,937.8645944,1436.918744,1007.915511,661.1075544,793.8638181,637.5647066,771.3082947,711.1430967,918.4678323,681.4222215,485.2054661,396.1696914,323.878713,159.4724586,106.5306533,83.05725204,20.33210546,13.52192132,1.567617685,0.416540598,3.197362496,9.993694754,20.89017077,28.2895468,24.58141586,37.03795641,40.82337879,30.08102718,35.93769532,-2.636164132,-2.636164132,-2.636164132,-2.636164132,-2.636164132,-1.874918861,4.754255255,11.6539913,8.107222249,15.64795948,4.598409352,7.409578332,-0.739224211,2.448087557,-2.170311372,-2.006821985,-0.249964061,-1.111414149,0.340207945,0.162428223,0.126954257,-0.245025959,-0.475487995,-0.516102854,-0.023456917,-0.335026591,0.099988473,-0.078989038,0.055068879,0.055068879,0.055068879,0.055068879,0.055068879,9.873062316,9.873062316,9.873062316,9.873062316,9.873062316,6.603062145,5.537447187,2.593387169,2.589480909,-7.053541746,0.281282548,-6.579947643,0.226524388,-4.94189704,0.179738995,1.836256462,0.215033327,1.61599561,-0.210745253,-0.454998941,-0.492881634,-0.496024418,0.218427278,0.490811571,0.234426212,-0.168228906,0.026745538,-0.123998717,0.163079233,0.163079233,0.163079233,0.163079233,0.163079233,0.410358876,0.352569133,0.396565676,0.308601826,0.292277843,0.326888204,0.280045331,0.29071185,0.387856692,0.577876925,0.676554382,0.546278954,0.005469872,0.017147548,-0.021737978,-0.059578265,-0.002951999,-0.006464336,1451.859414,1577.567116,2955.319717,0.061442246,0.13176751,92.28515625,blues
-0.003090396,2.881891492,18.23595944,-47.66327014,44.13578543,-106.2357703,51.81981298,-93.77418213,25.57678756,-77.1978573,-13.64299459,8.235224752,-34.84140653,13.04276018,-38.28052671,-6.327838948,0.046487205,-6.045957778,3.459398702,-5.68439114,5.87965947,3.226681984,0.781545625,-0.952773996,-0.323089476,-3.71337534,4.399891798,-5.060254014,-3.432200599,-8.434836536,2.829187815,-1.42579723,-0.800178813,0.21433904,156.7068795,755.3234042,1102.045676,730.1571972,1158.156548,589.2463624,395.3504146,450.2020332,549.0333792,545.1626422,332.686779,331.6743611,307.2376752,174.8676184,160.6193995,111.961938,94.33988276,83.50041595,36.44893952,20.40944567,7.172723044,1.107889257,0.183712158,2.289866543,8.159441509,15.57977589,21.48982659,28.23841067,20.13604986,32.48193081,21.76988062,22.2246861,-2.984225036,-2.984225036,-2.984225036,-2.984225036,-2.984225036,-6.380571788,-4.012933087,1.368174001,-1.447417883,6.365491583,-1.255897299,5.291604216,1.100355414,4.885179931,1.266186899,0.989558835,3.174409034,1.631934214,3.282329388,0.744516256,0.28927686,0.039133094,-0.115165568,-0.282125071,-0.960535954,-1.046321525,-0.363678663,-0.161837931,-0.026026892,-0.026026892,-0.026026892,-0.026026892,-0.026026892,2.711989795,2.711989795,2.711989795,2.711989795,2.711989795,-0.322917668,2.295773748,2.46033489,3.601327192,-1.006842237,2.885977617,-3.720804466,1.911823326,-3.158103461,1.42857232,1.238766921,-0.587503268,0.835833865,-2.140391309,-0.477452148,-0.360336958,-0.813818112,0.12020749,-0.462636219,0.216512279,-0.2409455,0.273990143,0.287624933,0.374030724,0.374030724,0.374030724,0.374030724,0.374030724,0.413471133,0.379345596,0.406701326,0.479883522,0.56280607,0.575733185,0.638433993,0.49742642,0.51975143,0.586601555,0.504683256,0.534772038,0.019191768,-0.036516987,-0.007946538,-0.018582611,-0.007192166,0.014182619,1719.463366,2031.829366,3782.441191,0.064024888,0.14232728,83.35433468,blues
-0.880906275,-3.737871353,2.282575805,-71.11389942,24.05465533,-101.2038335,97.5652178,-74.59705956,49.88619134,-23.70838288,13.28464371,13.00629655,-30.2930878,28.03347806,-23.51730852,-0.460144353,-4.086184933,-5.470924036,9.091351434,0.937054451,0.663783818,0.539695585,0.119005863,-0.233260211,1.158547295,-3.038253743,1.056909136,-2.465146269,2.064027573,-0.959128395,6.133288461,-2.166382863,-0.289597583,0.870164256,424.200781,1057.855665,1188.800694,739.0233568,1941.238072,1414.783019,693.4166549,552.270873,762.1315363,1080.708199,701.161261,494.0371204,487.0646412,507.2285697,313.5670011,265.1805308,240.3424103,143.9565455,86.25628394,45.15631076,10.7213476,1.521865025,0.519712498,6.687857185,13.76560348,18.25808194,43.58789009,35.17824606,41.35113986,42.33903344,29.18491218,57.71966595,2.51610293,2.51610293,2.51610293,2.51610293,2.51610293,2.157884045,4.408244453,6.858043729,0.126115767,4.532991564,-5.001372854,2.270719194,-3.412025207,0.011337449,-0.804744126,0.371644478,1.712412597,-0.357665315,1.890878222,0.285279676,0.305831173,-0.282552309,-0.730785377,-0.309096403,-0.072378959,-0.078760684,0.404393231,0.2059517,0.141363494,0.141363494,0.141363494,0.141363494,0.141363494,5.353526989,5.353526989,5.353526989,5.353526989,5.353526989,1.556088201,0.471667148,-2.98933511,-2.176166807,-3.646916613,3.261675659,-4.161477647,2.388024664,-1.079855896,2.069067426,1.168752201,-0.711833909,1.429847529,-1.584345568,-0.416264377,-0.506420842,-0.424760556,0.535226696,-0.060187131,0.186013064,0.104386759,0.461810691,0.026144811,-0.114050492,-0.114050492,-0.114050492,-0.114050492,-0.114050492,0.303850949,0.346633941,0.505761385,0.34078449,0.257144958,0.32471621,0.323654979,0.447973996,0.347647071,0.265651703,0.287083536,0.298771054,0.01672034,0.05554004,0.025820277,-0.056062639,-0.016968111,-0.025363077,1817.23059,1973.792039,3943.831966,0.079174824,0.08128055,129.1992188,blues
